Time from start of file (s),Time from initialisation (s),Time from start of region (s),Time (),Seconds from midnight Sunday (),Latitude (deg),Longitude (deg),Altitude (m),Distance horizontal (m),Velocity forward (m/s),Velocity lateral (m/s),Velocity down (m/s),Speed horizontal (m/s),Number of GPS satellites used (),GPS position mode (),GPS velocity mode (),GPS dual antenna attitude mode (),Heading (deg),Pitch (deg),Roll (deg),Slip angle (deg),Angular rate forward (deg/s),Angular rate lateral (deg/s),Angular rate down (deg/s),Angular rate Xv (deg/s),Angular rate Yv (deg/s),Angular rate Zv (deg/s),Acceleration forward (m/s²),Acceleration lateral (m/s²),Acceleration down (m/s²),Acceleration Xv (m/s²),Acceleration Yv (m/s²),Acceleration Zv (m/s²)
0.320000000,-0.010000000,0.000000000,1.26057385032E+18,170650.32,38.0163432256947,-122.013288879841,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
0.330000000,0.000000000,0.010000000,1.26057385033E+18,170650.33,38.0163432256947,-122.013288879841,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
0.340000000,0.010000000,0.020000000,1.26057385034E+18,170650.34,38.0163432256947,-122.013288879841,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
0.350000000,0.020000000,0.030000000,1.26057385035E+18,170650.35,38.0163432256947,-122.013288879841,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
0.360000000,0.030000000,0.040000000,1.26057385036E+18,170650.36,38.0163432256947,-122.013288879841,0.100000001490116,4.99987602233887E-07,9.39697252753529E-05,3.42007416831084E-05,0,0.0001,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0.0061,0,0,0.0061,0,0
0.370000000,0.040000000,0.050000000,1.26057385037E+18,170650.37,38.0163432256947,-122.013288879841,0.100000001490116,3.23605297041592E-06,0.000444280384467628,-5.11364838182721E-05,0,0.000447213595499958,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0.0404,0,0,0.0404,0,0
0.380000000,0.050000000,0.060000000,1.26057385038E+18,170650.38,38.0163432256947,-122.013288879841,0.100000001490116,1.17968722053702E-05,0.00126443967003667,3.45299990958893E-05,0,0.00126491106406735,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0.0778,0,0,0.0778,0,0
0.390000000,0.060000000,0.070000000,1.26057385039E+18,170650.39,38.0163432256947,-122.013288879841,0.100000001490116,2.98261102423889E-05,0.00234093988952263,6.58514825561799E-07,0,0.00234093998214393,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0.1153,0,0,0.1153,0,0
0.400000000,0.070000000,0.080000000,1.2605738504E+18,170650.4,38.0163432256947,-122.013288879841,0.100000001490116,6.1139451841478E-05,0.00392148947706847,4.38210136954234E-05,0,0.00392173431022552,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0.1527,0,0,0.1527,0,0
0.410000000,0.080000000,0.090000000,1.26057385041E+18,170650.41,38.0163432256947,-122.013288879841,0.100000001490116,0.000109539283361041,0.00575837999853122,-3.25544546192038E-05,0,0.00575847201955519,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0.1901,0,0,0.1901,0,0
0.420000000,0.090000000,0.100000000,1.26057385042E+18,170650.42,38.0163432265415,-122.013288880233,0.100000001490116,0.000178830142827065,0.00809931988805385,-3.18959397936419E-05,0,0.00809938269252663,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0.2275,0,0,0.2275,0,0
