Time from start of file (s),Time from start of region (s),Time (GPS s),Seconds from midnight Sunday (),Hunter heading (deg),Number of targets (),Target 1 range forward (m),Target 1 range lateral (m),Target 1 range horizontal (m),Target 1 angle to target (deg),Target 1 range velocity forward (m/s),Target 1 range velocity lateral (m/s),Target 1 time to collision forward (),Target 1 time to collision lateral (),Target 1 time gap forward (),Target 2 range forward (m),Target 2 range lateral (m),Target 2 range horizontal (m),Target 2 angle to target (deg),Target 2 range velocity forward (m/s),Target 2 range velocity lateral (m/s),Target 2 time to collision forward (),Target 2 time to collision lateral (),Target 2 time gap forward (),Hunter distance along line 1 (m),Hunter line number to left of A (),Hunter distance lateral from A to line on left of A (m),Hunter velocity lateral of A to line on left of A (m/s),Hunter acceleration lateral of A to line on left of A (m/s²),Hunter line number to right of A (),Hunter distance lateral from A to line on right of A (m),Hunter velocity lateral of A to line on right of A (m/s),Hunter acceleration lateral of A to line on right of A (m/s²),Hunter distance lateral from A to line 1 (m),Hunter distance lateral from A to line 2 (m),Hunter distance lateral from A to line 3 (m),Hunter distance lateral from A to line 4 (m),Hunter distance lateral from A to line 5 (m),Hunter distance lateral from A to line 6 (m),Hunter distance lateral from A to line 7 (m),Hunter distance lateral from A to line 8 (m)
0.020000000,0.000000000,1260574034.080000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.090000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.100000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.110000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.120000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.130000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.140000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.150000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.160000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.170000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.180000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.190000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.200000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.210000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.220000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.230000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.240000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.250000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.260000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.270000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.280000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.290000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.300000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.310000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.320000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.330000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.340000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.350000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.360000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.370000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.380000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.390000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.400000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.410000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.420000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.430000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.020000000,0.000000000,1260574034.440000000,170844.02,292.39,1,31.469,19.221,36.8747176531563,31.4162337008825,0.05,-0.06,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
