[Tag 0 SN40075 Real-Time]Time from start of file (s),[Tag 0 SN40075 Real-Time]Time from initialisation (s),[Tag 0 SN40075 Real-Time]Time from start of region (s),[Tag 0 SN40075 Real-Time]Time (GPS s),[Tag 0 SN40075 Real-Time]Seconds from midnight Sunday (),[Tag 0 SN40075 Real-Time]Latitude (deg),[Tag 0 SN40075 Real-Time]Longitude (deg),[Tag 0 SN40075 Real-Time]Altitude (m),[Tag 0 SN40075 Real-Time]Distance horizontal (m),[Tag 0 SN40075 Real-Time]Velocity forward (m/s),[Tag 0 SN40075 Real-Time]Velocity lateral (m/s),[Tag 0 SN40075 Real-Time]Velocity down (m/s),[Tag 0 SN40075 Real-Time]Speed horizontal (m/s),[Tag 0 SN40075 Real-Time]Number of GPS satellites used (),[Tag 0 SN40075 Real-Time]GPS position mode (),[Tag 0 SN40075 Real-Time]GPS velocity mode (),[Tag 0 SN40075 Real-Time]GPS dual antenna attitude mode (),[Tag 0 SN40075 Real-Time]Heading (deg),[Tag 0 SN40075 Real-Time]Pitch (deg),[Tag 0 SN40075 Real-Time]Roll (deg),[Tag 0 SN40075 Real-Time]Slip angle (deg),[Tag 0 SN40075 Real-Time]Angular rate forward (deg/s),[Tag 0 SN40075 Real-Time]Angular rate lateral (deg/s),[Tag 0 SN40075 Real-Time]Angular rate down (deg/s),[Tag 0 SN40075 Real-Time]Angular rate Xv (deg/s),[Tag 0 SN40075 Real-Time]Angular rate Yv (deg/s),[Tag 0 SN40075 Real-Time]Angular rate Zv (deg/s),[Tag 0 SN40075 Real-Time]Acceleration forward (m/s²),[Tag 0 SN40075 Real-Time]Acceleration lateral (m/s²),[Tag 0 SN40075 Real-Time]Acceleration down (m/s²),[Tag 0 SN40075 Real-Time]Acceleration Xv (m/s²),[Tag 0 SN40075 Real-Time]Acceleration Yv (m/s²),[Tag 0 SN40075 Real-Time]Acceleration Zv (m/s²),[Tag 1 SN ]Time from start of file (s),[Tag 1 SN ]Time from initialisation (s),[Tag 1 SN ]Time from start of region (s),[Tag 1 SN ]Time (),[Tag 1 SN ]Seconds from midnight Sunday (),[Tag 1 SN ]Latitude (deg),[Tag 1 SN ]Longitude (deg),[Tag 1 SN ]Altitude (m),[Tag 1 SN ]Distance horizontal (m),[Tag 1 SN ]Velocity forward (m/s),[Tag 1 SN ]Velocity lateral (m/s),[Tag 1 SN ]Velocity down (m/s),[Tag 1 SN ]Speed horizontal (m/s),[Tag 1 SN ]Number of GPS satellites used (),[Tag 1 SN ]GPS position mode (),[Tag 1 SN ]GPS velocity mode (),[Tag 1 SN ]GPS dual antenna attitude mode (),[Tag 1 SN ]Heading (deg),[Tag 1 SN ]Pitch (deg),[Tag 1 SN ]Roll (deg),[Tag 1 SN ]Slip angle (deg),[Tag 1 SN ]Angular rate forward (deg/s),[Tag 1 SN ]Angular rate lateral (deg/s),[Tag 1 SN ]Angular rate down (deg/s),[Tag 1 SN ]Angular rate Xv (deg/s),[Tag 1 SN ]Angular rate Yv (deg/s),[Tag 1 SN ]Angular rate Zv (deg/s),[Tag 1 SN ]Acceleration forward (m/s²),[Tag 1 SN ]Acceleration lateral (m/s²),[Tag 1 SN ]Acceleration down (m/s²),[Tag 1 SN ]Acceleration Xv (m/s²),[Tag 1 SN ]Acceleration Yv (m/s²),[Tag 1 SN ]Acceleration Zv (m/s²),[Tag 2 SN Range]Time from start of file (ns),[Tag 2 SN Range]Time from initialisation (s),[Tag 2 SN Range]Time from start of region (ns),[Tag 2 SN Range]Time (),[Tag 2 SN Range]Seconds from midnight Sunday (),[Tag 2 SN Range]Hunter heading (deg),[Tag 2 SN Range]Number of targets (),[Tag 2 SN Range]Target 1 range forward (m),[Tag 2 SN Range]Target 1 range lateral (m),[Tag 2 SN Range]Target 1 range horizontal (m),[Tag 2 SN Range]Target 1 angle to target (deg),[Tag 2 SN Range]Target 1 range velocity forward (m/s),[Tag 2 SN Range]Target 1 range velocity lateral (m/s),[Tag 2 SN Range]Target 1 time to collision forward (),[Tag 2 SN Range]Target 1 time to collision lateral (),[Tag 2 SN Range]Target 1 time gap forward (),[Tag 2 SN Range]Target 2 range forward (m),[Tag 2 SN Range]Target 2 range lateral (m),[Tag 2 SN Range]Target 2 range horizontal (m),[Tag 2 SN Range]Target 2 angle to target (deg),[Tag 2 SN Range]Target 2 range velocity forward (m/s),[Tag 2 SN Range]Target 2 range velocity lateral (m/s),[Tag 2 SN Range]Target 2 time to collision forward (),[Tag 2 SN Range]Target 2 time to collision lateral (),[Tag 2 SN Range]Target 2 time gap forward (),[Tag 2 SN Range]Hunter distance along line 1 (m),[Tag 2 SN Range]Hunter line number to left of A (),[Tag 2 SN Range]Hunter distance lateral from A to line on left of A (m),[Tag 2 SN Range]Hunter velocity lateral of A to line on left of A (m/s),[Tag 2 SN Range]Hunter acceleration lateral of A to line on left of A (m/s²),[Tag 2 SN Range]Hunter line number to right of A (),[Tag 2 SN Range]Hunter distance lateral from A to line on right of A (m),[Tag 2 SN Range]Hunter velocity lateral of A to line on right of A (m/s),[Tag 2 SN Range]Hunter acceleration lateral of A to line on right of A (m/s²),[Tag 2 SN Range]Hunter distance lateral from A to line 1 (m),[Tag 2 SN Range]Hunter distance lateral from A to line 2 (m),[Tag 2 SN Range]Hunter distance lateral from A to line 3 (m),[Tag 2 SN Range]Hunter distance lateral from A to line 4 (m),[Tag 2 SN Range]Hunter distance lateral from A to line 5 (m),[Tag 2 SN Range]Hunter distance lateral from A to line 6 (m),[Tag 2 SN Range]Hunter distance lateral from A to line 7 (m),[Tag 2 SN Range]Hunter distance lateral from A to line 8 (m)
0.220000000,-0.010000000,0.010000000,1264291864.220000000,259864.22,38.0160297450581,-122.013032952731,21.9179267883301,5.93983291084156E-05,-0.00564684613788924,-0.00184204470494214,-0.001,0.005939696961967,16,RTK Integer (6),gxInteger (24),RTK Integer (6),296.933274982801,0.342571465708719,159.981791218444,,0.123588670137123,-0.0785347745699207,-0.0288382142509521,0.123758883748258,0.0641712730546522,0.0532850749471666,-0.00117317451355015,-0.00668523327517612,-9.79653830550964,0.0574,-3.3472,9.2068,0.220000000,0.000000000,0.010000000,1.26429186422E+18,259864.22,38.0164163211135,-122.013313066209,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,230000000,,,1.26429186923E+18,0.000259869,297,1,41.332,25.482,48.5558085917638,31.6546578560286,0.01,-0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230000000,0.000000000,0.020000000,1264291864.230000000,259864.23,38.0160297446987,-122.013032952236,21.9179363250732,0.000118443818789688,-0.00560156841136746,-0.00175283522693101,-0.001,0.00586941223633168,16,RTK Integer (6),gxInteger (24),RTK Integer (6),296.933847940596,0.342342282590667,159.982077697342,,0.0284292978356544,-0.0240968010805222,0.0592235162186434,0.0280749319614103,0.0429718346348117,-0.0475554969958583,-0.00065625621426086,0.00797100352148217,-9.80026659700799,0.0579,-3.3622,9.2053,0.230000000,0.010000000,0.020000000,1.26429186423E+18,259864.23,38.0164163211135,-122.013313066209,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,230000000,,,1.26429186923E+18,0.000259869,297,1,41.332,25.482,48.5558085917638,31.6546578560286,0.01,-0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.240000000,0.010000000,0.030000000,1264291864.240000000,259864.24,38.0160297457614,-122.013032954019,21.9179668426514,0.000177137885177928,-0.00560157366984793,-0.00175281842221789,-0.001,0.00586941223633168,16,RTK Integer (6),gxInteger (24),RTK Integer (6),296.934019827935,0.342170395252128,159.982765246696,,0.0679103332242035,0.00545554999580978,-0.0456893868625411,0.068181977620568,-0.0206264806247096,0.0406800034542885,-0.00663299114497275,-0.00101947229240862,-9.80127608702585,0.0519,-3.354,9.2094,0.240000000,0.020000000,0.030000000,1.26429186424E+18,259864.24,38.0164163211135,-122.013313066209,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,230000000,,,1.26429186923E+18,0.000259869,297,1,41.332,25.482,48.5558085917638,31.6546578560286,0.01,-0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.250000000,0.020000000,0.040000000,1264291864.250000000,259864.25,38.0160297453933,-122.01303295356,21.9179763793945,0.000235474877855585,-0.00551241720003842,-0.0017981258612012,-0.001,0.00579827560572969,16,RTK Integer (6),gxInteger (24),RTK Integer (6),296.933905236376,0.342972536165311,159.982192288901,,-0.055650918920372,0.0795868944180405,-0.0121978256592775,-0.0555769061276899,-0.0790681757280536,-0.0154698604685322,0.00775361980183768,-0.00135426665147786,-9.7973386823842,0.0664,-3.3524,9.2057,0.250000000,0.030000000,0.040000000,1.26429186425E+18,259864.25,38.0164163211135,-122.013313066209,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,230000000,,,1.26429186923E+18,0.000259869,297,1,41.332,25.482,48.5558085917638,31.6546578560286,0.01,-0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.260000000,0.030000000,0.050000000,1264291864.260000000,259864.26,38.0160297450285,-122.013032953078,21.9179859161377,0.000293814652326799,-0.00560158418665764,-0.00175278481274432,-0.001,0.00586941223633168,16,RTK Integer (6),gxInteger (24),RTK Integer (6),296.934363602612,0.343373606621902,159.982020401562,,-0.0112129761223573,0.0430040445187347,0.0411117332558267,-0.0114591559026165,-0.0263560585760179,-0.0532850749471666,-0.00423473911615971,0.00485112372584373,-9.80060314641825,0.0545,-3.3594,9.2067,0.260000000,0.040000000,0.050000000,1.26429186426E+18,259864.26,38.0164163211135,-122.013313066209,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,230000000,,,1.26429186923E+18,0.000259869,297,1,41.332,25.482,48.5558085917638,31.6546578560286,0.01,-0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.270000000,0.040000000,0.060000000,1264291864.270000000,259864.27,38.016029746056,-122.01303295481,21.9180145263672,0.000351456141488839,-0.00542185874338254,-0.00161970607420183,-0.001,0.00565862174031804,16,RTK Integer (6),gxInteger (24),RTK Integer (6),296.935108447745,0.342628761488232,159.980645302854,,-0.139117745156816,-0.0531494124150842,0.0189777896418447,-0.13922874421679,0.0561498639228207,0.00114591559026165,0.00357254256506819,0.00765531212511483,-9.80399176219237,0.0622,-3.3634,9.2088,0.270000000,0.050000000,0.060000000,1.26429186427E+18,259864.27,38.0164163211135,-122.013313066209,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,230000000,,,1.26429186923E+18,0.000259869,297,1,41.332,25.482,48.5558085917638,31.6546578560286,0.01,-0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.280000000,0.050000000,0.070000000,1264291864.280000000,259864.28,38.0160297456829,-122.013032954359,21.9180240631104,0.000408032118571643,-0.00537799782183563,-0.00175417770716973,-0.0009,0.00565685424949238,16,RTK Integer (6),gxInteger (24),RTK Integer (6),296.934879264627,0.344003860196546,159.982478767798,,0.186620787236058,0.138466637378804,-0.0277845808283432,0.186784241212648,-0.13922874421679,-0.0223453540101021,0.000296669922023964,-0.0109917707714424,-9.79408539593985,0.0591,-3.3422,9.206,0.280000000,0.060000000,0.070000000,1.26429186428E+18,259864.28,38.0164163211135,-122.013313066209,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,230000000,,,1.26429186923E+18,0.000259869,297,1,41.332,25.482,48.5558085917638,31.6546578560286,0.01,-0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.290000000,0.060000000,0.080000000,1264291864.290000000,259864.29,38.0160297453301,-122.013032953884,21.9180335998535,0.000464609444564301,-0.00542182148870876,-0.0016198307765245,-0.001,0.00565862174031804,16,RTK Integer (6),gxInteger (24),RTK Integer (6),296.933790644817,0.34314442350385,159.983223612932,,0.0749547935225268,-0.0843109986792517,-0.113037856326736,0.0756304289572687,0.0406800034542885,0.134645081855743,0.00140383245338434,0.0105589453871553,-9.80072526489375,0.0601,-3.3646,9.2049,0.290000000,0.070000000,0.080000000,1.26429186429E+18,259864.29,38.0164163211135,-122.013313066209,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,230000000,,,1.26429186923E+18,0.000259869,297,1,41.332,25.482,48.5558085917638,31.6546578560286,0.01,-0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300000000,0.070000000,0.090000000,1264291864.300000000,259864.3,38.0160297463435,-122.013032955494,21.9180679321289,0.000520835455091465,-0.00533270839546321,-0.001664998849536,-0.001,0.00558659108938537,16,RTK Integer (6),gxInteger (24),RTK Integer (6),296.935165743525,0.343087127724337,159.982822542475,,-0.0361668636872141,0.0110148759715943,0.0840157995674102,-0.0366692988883727,0.0183346494441863,-0.0825059224988385,-0.00198913836528128,0.00127153959786908,-9.80117792801027,0.0567,-3.3561,9.2085,0.300000000,0.080000000,0.090000000,1.2642918643E+18,259864.3,38.0164163211135,-122.013313066209,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,230000000,,,1.26429186923E+18,0.000259869,297,1,41.332,25.482,48.5558085917638,31.6546578560286,0.01,-0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.310000000,0.080000000,0.100000000,1264291864.310000000,259864.31,38.0160297459947,-122.013032955046,21.9180774688721,0.000576702644654544,-0.00533271339043576,-0.00166498285140332,-0.0009,0.00558659108938537,16,RTK Integer (6),gxInteger (24),RTK Integer (6),296.935337630864,0.343201719283363,159.982765246696,,-0.0010606270416863,0.0161623410631347,0.0142417506449881,-0.00114591559026165,-0.0103132403123548,-0.0189076072393172,0.00232419546051467,-0.000136125333519921,-9.7956923404926,0.061,-3.3529,9.2038,0.310000000,0.090000000,0.100000000,1.26429186431E+18,259864.31,38.0164163211135,-122.013313066209,0.100000001490116,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,340.000775969306,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,230000000,,,1.26429186923E+18,0.000259869,297,1,41.332,25.482,48.5558085917638,31.6546578560286,0.01,-0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
