Time from start of file (s),Time from start of region (s),Time (GPS s),Seconds from midnight Sunday (),Hunter heading (deg),Number of targets (),Target 1 range forward (m),Target 1 range lateral (m),Target 1 range horizontal (m),Target 1 angle to target (deg),Target 1 range velocity forward (m/s),Target 1 range velocity lateral (m/s),Target 1 time to collision forward (),Target 1 time to collision lateral (),Target 1 time gap forward (),Target 2 range forward (m),Target 2 range lateral (m),Target 2 range horizontal (m),Target 2 angle to target (deg),Target 2 range velocity forward (m/s),Target 2 range velocity lateral (m/s),Target 2 time to collision forward (),Target 2 time to collision lateral (),Target 2 time gap forward (),Hunter distance along line 1 (m),Hunter line number to left of A (),Hunter distance lateral from A to line on left of A (m),Hunter velocity lateral of A to line on left of A (m/s),Hunter acceleration lateral of A to line on left of A (m/s²),Hunter line number to right of A (),Hunter distance lateral from A to line on right of A (m),Hunter velocity lateral of A to line on right of A (m/s),Hunter acceleration lateral of A to line on right of A (m/s²),Hunter distance lateral from A to line 1 (m),Hunter distance lateral from A to line 2 (m),Hunter distance lateral from A to line 3 (m),Hunter distance lateral from A to line 4 (m),Hunter distance lateral from A to line 5 (m),Hunter distance lateral from A to line 6 (m),Hunter distance lateral from A to line 7 (m),Hunter distance lateral from A to line 8 (m)
0.580000000,0.000000000,1260314857.670000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.680000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.690000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.700000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.710000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.720000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.730000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.740000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.750000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.760000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.770000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.780000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.790000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.800000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.810000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.820000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.830000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.840000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.850000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.860000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580000000,0.000000000,1260314857.870000000,516467.58,69.59,1,45.763,6.938,46.2859375296644,8.62080338718186,0,0.02,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
