[Tag 0 SN Range]Time from start of file (s),[Tag 0 SN Range]Time from start of region (s),[Tag 0 SN Range]Time (GPS s),[Tag 0 SN Range]Seconds from midnight Sunday (),[Tag 0 SN Range]Hunter heading (deg),[Tag 0 SN Range]Number of targets (),[Tag 0 SN Range]Target 1 range forward (m),[Tag 0 SN Range]Target 1 range lateral (m),[Tag 0 SN Range]Target 1 range horizontal (m),[Tag 0 SN Range]Target 1 angle to target (deg),[Tag 0 SN Range]Target 1 range velocity forward (m/s),[Tag 0 SN Range]Target 1 range velocity lateral (m/s),[Tag 0 SN Range]Target 1 time to collision forward (),[Tag 0 SN Range]Target 1 time to collision lateral (),[Tag 0 SN Range]Target 1 time gap forward (),[Tag 1 SN Target1 ]Time from start of file (s),[Tag 1 SN Target1 ]Time from start of region (s),[Tag 1 SN Target1 ]Time (),[Tag 1 SN Target1 ]Seconds from midnight Sunday (),[Tag 1 SN Target1 ]Time from initialisation (s),[Tag 1 SN Target1 ]Latitude (deg),[Tag 1 SN Target1 ]Longitude (deg),[Tag 1 SN Target1 ]Altitude (m),[Tag 1 SN Target1 ]Distance horizontal (m),[Tag 1 SN Target1 ]Velocity forward (m/s),[Tag 1 SN Target1 ]Velocity lateral (m/s),[Tag 1 SN Target1 ]Velocity down (m/s),[Tag 1 SN Target1 ]Speed horizontal (m/s),[Tag 1 SN Target1 ]Number of GPS satellites used (),[Tag 1 SN Target1 ]GPS position mode (),[Tag 1 SN Target1 ]GPS velocity mode (),[Tag 1 SN Target1 ]GPS dual antenna attitude mode (),[Tag 1 SN Target1 ]Heading (deg),[Tag 1 SN Target1 ]Pitch (deg),[Tag 1 SN Target1 ]Roll (deg),[Tag 1 SN Target1 ]Slip angle (deg),[Tag 1 SN Target1 ]Angular rate forward (deg/s),[Tag 1 SN Target1 ]Angular rate lateral (deg/s),[Tag 1 SN Target1 ]Angular rate down (deg/s),[Tag 1 SN Target1 ]Angular rate Xv (deg/s),[Tag 1 SN Target1 ]Angular rate Yv (deg/s),[Tag 1 SN Target1 ]Angular rate Zv (deg/s),[Tag 1 SN Target1 ]Acceleration forward (m/s²),[Tag 1 SN Target1 ]Acceleration lateral (m/s²),[Tag 1 SN Target1 ]Acceleration down (m/s²),[Tag 1 SN Target1 ]Acceleration Xv (m/s²),[Tag 1 SN Target1 ]Acceleration Yv (m/s²),[Tag 1 SN Target1 ]Acceleration Zv (m/s²),[Tag 2 SN40075 Hunter Real-Time]Time from start of file (s),[Tag 2 SN40075 Hunter Real-Time]Time from start of region (s),[Tag 2 SN40075 Hunter Real-Time]Time (),[Tag 2 SN40075 Hunter Real-Time]Seconds from midnight Sunday (),[Tag 2 SN40075 Hunter Real-Time]Time from initialisation (s),[Tag 2 SN40075 Hunter Real-Time]Latitude (deg),[Tag 2 SN40075 Hunter Real-Time]Longitude (deg),[Tag 2 SN40075 Hunter Real-Time]Altitude (m),[Tag 2 SN40075 Hunter Real-Time]Distance horizontal (m),[Tag 2 SN40075 Hunter Real-Time]Velocity forward (m/s),[Tag 2 SN40075 Hunter Real-Time]Velocity lateral (m/s),[Tag 2 SN40075 Hunter Real-Time]Velocity down (m/s),[Tag 2 SN40075 Hunter Real-Time]Speed horizontal (m/s),[Tag 2 SN40075 Hunter Real-Time]Number of GPS satellites used (),[Tag 2 SN40075 Hunter Real-Time]GPS position mode (),[Tag 2 SN40075 Hunter Real-Time]GPS velocity mode (),[Tag 2 SN40075 Hunter Real-Time]GPS dual antenna attitude mode (),[Tag 2 SN40075 Hunter Real-Time]Heading (deg),[Tag 2 SN40075 Hunter Real-Time]Pitch (deg),[Tag 2 SN40075 Hunter Real-Time]Roll (deg),[Tag 2 SN40075 Hunter Real-Time]Slip angle (deg),[Tag 2 SN40075 Hunter Real-Time]Angular rate forward (deg/s),[Tag 2 SN40075 Hunter Real-Time]Angular rate lateral (deg/s),[Tag 2 SN40075 Hunter Real-Time]Angular rate down (deg/s),[Tag 2 SN40075 Hunter Real-Time]Angular rate Xv (deg/s),[Tag 2 SN40075 Hunter Real-Time]Angular rate Yv (deg/s),[Tag 2 SN40075 Hunter Real-Time]Angular rate Zv (deg/s),[Tag 2 SN40075 Hunter Real-Time]Acceleration forward (m/s²),[Tag 2 SN40075 Hunter Real-Time]Acceleration lateral (m/s²),[Tag 2 SN40075 Hunter Real-Time]Acceleration down (m/s²),[Tag 2 SN40075 Hunter Real-Time]Acceleration Xv (m/s²),[Tag 2 SN40075 Hunter Real-Time]Acceleration Yv (m/s²),[Tag 2 SN40075 Hunter Real-Time]Acceleration Zv (m/s²)
1,0.01,1260315491,517091,70.03,1,45.553,5.648,45.90180512,7.067886559,-1.88,0.5,24.23031915,-11.296,25.30722222,10,9.93,1.26E+18,517091,9.92,38.01653699,-122.0125098,0.100000001,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,342.0007997,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01,1.26E+18,517091,-0.01,38.01644364,-122.013019,24.26496124,0.018422122,1.845243605,0.118200663,-0.0045,1.849025516,12,RTK Integer (6),gxInteger (24),RTK Integer (6),70.00123321,2.125845307,0.927790558,3.665184811,-0.21494121,-0.322345005,-0.894085888,-0.181627621,-0.336899184,-0.896105992,1.419184684,-0.762863604,-8.941815127,1.7499,-0.9066,-8.8695
1.01,0.02,1260315491,517091.01,70.02,1,45.534,5.654,45.88368852,7.07824126,-1.9,0.56,23.96526316,-10.09642857,25.01868132,10.01,9.94,1.26E+18,517091.01,9.93,38.01653699,-122.0125098,0.100000001,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,342.0007997,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0.02,1.26E+18,517091.01,0,38.01644369,-122.0130188,24.26505089,0.036981772,1.858877527,0.122479012,-0.0099,1.862908149,12,RTK Integer (6),gxInteger (24),RTK Integer (6),69.99298262,2.123839955,0.92395174,3.769695207,-0.381664768,-0.207264981,-0.814351227,-0.351223128,-0.220588751,-0.824486267,1.365242003,0.398257205,-10.34001307,1.7475,0.2324,-10.2874
1.02,0.03,1260315491,517091.02,70,1,45.496,5.666,45.84745982,7.09897521,-1.93,0.59,23.57305699,-9.603389831,24.59243243,10.02,9.95,1.26E+18,517091.02,9.94,38.01653699,-122.0125098,0.100000001,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,342.0007997,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0.03,1.26E+18,517091.02,0.01,38.01644375,-122.0130186,24.26516724,0.055678029,1.872785826,0.1155428,-0.006,1.876346687,12,RTK Integer (6),gxInteger (24),RTK Integer (6),69.98266938,2.121032462,0.921144247,3.530427414,-0.24302502,-0.283913369,-0.973256485,-0.206837764,-0.299656927,-0.976893041,1.398311391,-0.683142488,-9.403985358,1.7454,-0.8333,-9.3336
1.03,0.04,1260315491,517091.03,69.99,1,45.477,5.671,45.82922397,7.108113887,-1.94,0.52,23.44175258,-10.90576923,24.45,10.03,9.96,1.26E+18,517091.03,9.95,38.01653699,-122.0125098,0.100000001,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,342.0007997,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0.04,1.26E+18,517091.03,0.02,38.0164438,-122.0130184,24.26530075,0.074514994,1.887134775,0.120220089,-0.012,1.890960214,12,RTK Integer (6),gxInteger (24),RTK Integer (6),69.97373124,2.119256293,0.919998332,3.645107029,-0.112710258,-0.183311999,-0.892169276,-0.079641134,-0.197670439,-0.892668245,1.436510437,0.44079879,-10.40769647,1.8204,0.2746,-10.3532
1.04,0.05,1260315491,517091.04,69.98,1,45.457,5.68,45.81049278,7.122379107,-1.97,0.66,23.07461929,-8.606060606,24.30855615,10.04,9.97,1.26E+18,517091.04,9.96,38.01653699,-122.0125098,0.100000001,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,342.0007997,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0.05,1.26E+18,517091.04,0.03,38.01644384,-122.0130182,24.26540565,0.093495064,1.901366471,0.119974971,-0.0108,1.905147881,12,RTK Integer (6),gxInteger (24),RTK Integer (6),69.96444932,2.117308236,0.917649205,3.610539182,-0.235873432,-0.198857271,-0.921118116,-0.201681144,-0.213713258,-0.925899797,1.425233485,-0.060012523,-9.674755593,1.7817,-0.214,-9.6133
1.05,0.06,1260315491,517091.05,69.97,1,45.437,5.686,45.79139182,7.132931374,-1.97,0.59,23.06446701,-9.637288136,24.04074074,10.05,9.98,1.26E+18,517091.05,9.97,38.01653699,-122.0125098,0.100000001,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,342.0007997,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0.06,1.26E+18,517091.05,0.04,38.01644391,-122.013018,24.26557541,0.112613712,1.914550378,0.12436499,-0.0086,1.918585364,12,RTK Integer (6),gxInteger (24),RTK Integer (6),69.95488093,2.114901813,0.915529261,3.716586536,-0.167565963,-0.243987218,-0.826881213,-0.136936913,-0.25725805,-0.828496972,1.320083739,0.458839042,-9.579425484,1.6727,0.3066,-9.5303
1.06,0.07,1260315491,517091.06,69.96,1,45.418,5.692,45.77328465,7.143336789,-1.99,0.61,22.82311558,-9.331147541,23.90421053,10.06,9.99,1.26E+18,517091.06,9.98,38.01653699,-122.0125098,0.100000001,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,342.0007997,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0.07,1.26E+18,517091.06,0.05,38.01644396,-122.0130178,24.2657299,0.131864487,1.927863979,0.119650191,-0.0148,1.931573372,12,RTK Integer (6),gxInteger (24),RTK Integer (6),69.94536983,2.113698602,0.914841711,3.551427482,-0.066692815,-0.128017167,-0.952609824,-0.031512679,-0.143239449,-0.952255856,1.329776353,-0.503172938,-10.41488615,1.713,-0.6685,-10.3494
1.07,0.08,1260315491,517091.07,69.95,1,45.398,5.7,45.75443589,7.156391378,-2,0.53,22.699,-10.75471698,23.76858639,10.07,10,1.26E+18,517091.07,9.99,38.01653699,-122.0125098,0.100000001,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,342.0007997,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0.08,1.26E+18,517091.07,0.06,38.016444,-122.0130176,24.26590157,0.151247492,1.940988694,0.12389362,-0.0171,1.94493875,12,RTK Integer (6),gxInteger (24),RTK Integer (6),69.93660357,2.112724574,0.913065542,3.65224408,-0.176645662,-0.098898172,-0.871820375,-0.144385364,-0.112872686,-0.876052469,1.322765759,0.390625857,-10.031926,1.6917,0.2316,-9.9813
1.08,0.09,1260315491,517091.08,69.95,1,45.377,5.706,45.73434776,7.167127081,-2.02,0.64,22.46386139,-8.915625,23.51139896,10.08,10.01,1.26E+18,517091.08,10,38.01653699,-122.0125098,0.100000001,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,342.0007997,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0.09,1.26E+18,517091.08,0.07,38.01644407,-122.0130174,24.26606941,0.170763143,1.954467882,0.122264422,-0.0087,1.958288357,12,RTK Integer (6),gxInteger (24),RTK Integer (6),69.92606115,2.110146264,0.910716415,3.579551728,-0.198914456,-0.261268505,-0.932646743,-0.164438887,-0.276165657,-0.935067122,1.345316814,-0.155241123,-8.956801056,1.6742,-0.2967,-8.8976
1.09,0.1,1260315491,517091.09,69.94,1,45.357,5.712,45.7152534,7.177715617,-2.03,0.57,22.34334975,-10.02105263,23.37989691,10.09,10.02,1.26E+18,517091.09,10.01,38.01653699,-122.0125098,0.100000001,0,0,0,0,0,8,RTK Integer (6),RTK Integer (6),,342.0007997,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0.1,1.26E+18,517091.09,0.08,38.01644412,-122.0130171,24.26628304,0.190412025,1.967725556,0.121802443,-0.0209,1.971491745,12,RTK Integer (6),gxInteger (24),RTK Integer (6),69.91649275,2.110031672,0.909856979,3.542096091,-0.085056071,-0.014596076,-0.954707656,-0.049847328,-0.029793805,-0.956839518,1.328269453,-0.072518719,-11.01971075,1.7331,-0.2466,-10.9608
