Time from start of file (s),Time from start of region (s),Time (GPS s),Seconds from midnight Sunday (),Hunter heading (deg),Number of targets (),Target 1 range forward (m),Target 1 range lateral (m),Target 1 range horizontal (m),Target 1 angle to target (deg),Target 1 range velocity forward (m/s),Target 1 range velocity lateral (m/s),Target 1 time to collision forward (),Target 1 time to collision lateral (),Target 1 time gap forward (),Target 2 range forward (m),Target 2 range lateral (m),Target 2 range horizontal (m),Target 2 angle to target (deg),Target 2 range velocity forward (m/s),Target 2 range velocity lateral (m/s),Target 2 time to collision forward (),Target 2 time to collision lateral (),Target 2 time gap forward (),Hunter distance along line 1 (m),Hunter line number to left of A (),Hunter distance lateral from A to line on left of A (m),Hunter velocity lateral of A to line on left of A (m/s),Hunter acceleration lateral of A to line on left of A (m/s²),Hunter line number to right of A (),Hunter distance lateral from A to line on right of A (m),Hunter velocity lateral of A to line on right of A (m/s),Hunter acceleration lateral of A to line on right of A (m/s²),Hunter distance lateral from A to line 1 (m),Hunter distance lateral from A to line 2 (m),Hunter distance lateral from A to line 3 (m),Hunter distance lateral from A to line 4 (m),Hunter distance lateral from A to line 5 (m),Hunter distance lateral from A to line 6 (m),Hunter distance lateral from A to line 7 (m),Hunter distance lateral from A to line 8 (m)
0.190000000,0.000000000,1260573573.230000000,170383.19,290.43,1,30.511,19.959,36.4593307947362,33.1910069752711,-0.01,0.01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190000000,0.000000000,1260573573.240000000,170383.19,290.43,1,30.511,19.959,36.4593307947362,33.1910069752711,-0.01,0.01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190000000,0.000000000,1260573573.250000000,170383.19,290.43,1,30.511,19.959,36.4593307947362,33.1910069752711,-0.01,0.01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190000000,0.000000000,1260573573.260000000,170383.19,290.43,1,30.511,19.959,36.4593307947362,33.1910069752711,-0.01,0.01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190000000,0.000000000,1260573573.270000000,170383.19,290.43,1,30.511,19.959,36.4593307947362,33.1910069752711,-0.01,0.01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190000000,0.000000000,1260573573.280000000,170383.19,290.43,1,30.511,19.959,36.4593307947362,33.1910069752711,-0.01,0.01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190000000,0.000000000,1260573573.290000000,170383.19,290.43,1,30.511,19.959,36.4593307947362,33.1910069752711,-0.01,0.01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190000000,0.000000000,1260573573.300000000,170383.19,290.43,1,30.511,19.959,36.4593307947362,33.1910069752711,-0.01,0.01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190000000,0.000000000,1260573573.310000000,170383.19,290.43,1,30.511,19.959,36.4593307947362,33.1910069752711,-0.01,0.01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.190000000,0.000000000,1260573573.320000000,170383.19,290.43,1,30.511,19.959,36.4593307947362,33.1910069752711,-0.01,0.01,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
