Time from start of file (s),Time from start of region (s),Time (GPS s),Seconds from midnight Sunday (),Hunter heading (deg),Number of targets (),Target 1 range forward (m),Target 1 range lateral (m),Target 1 range horizontal (m),Target 1 angle to target (deg),Target 1 range velocity forward (m/s),Target 1 range velocity lateral (m/s),Target 1 time to collision forward (),Target 1 time to collision lateral (),Target 1 time gap forward (),Target 2 range forward (m),Target 2 range lateral (m),Target 2 range horizontal (m),Target 2 angle to target (deg),Target 2 range velocity forward (m/s),Target 2 range velocity lateral (m/s),Target 2 time to collision forward (),Target 2 time to collision lateral (),Target 2 time gap forward (),Hunter distance along line 1 (m),Hunter line number to left of A (),Hunter distance lateral from A to line on left of A (m),Hunter velocity lateral of A to line on left of A (m/s),Hunter acceleration lateral of A to line on left of A (m/s²),Hunter line number to right of A (),Hunter distance lateral from A to line on right of A (m),Hunter velocity lateral of A to line on right of A (m/s),Hunter acceleration lateral of A to line on right of A (m/s²),Hunter distance lateral from A to line 1 (m),Hunter distance lateral from A to line 2 (m),Hunter distance lateral from A to line 3 (m),Hunter distance lateral from A to line 4 (m),Hunter distance lateral from A to line 5 (m),Hunter distance lateral from A to line 6 (m),Hunter distance lateral from A to line 7 (m),Hunter distance lateral from A to line 8 (m)
0.820000000,0.000000000,1260574874.900000000,171684.82,293.85,1,32.581,18.385,37.4102898411654,29.4354258888475,-0.45,0.09,72.4022222222222,,79.4658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820000000,0.000000000,1260574874.910000000,171684.82,293.85,1,32.581,18.385,37.4102898411654,29.4354258888475,-0.45,0.09,72.4022222222222,,79.4658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820000000,0.000000000,1260574874.920000000,171684.82,293.85,1,32.581,18.385,37.4102898411654,29.4354258888475,-0.45,0.09,72.4022222222222,,79.4658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820000000,0.000000000,1260574874.930000000,171684.82,293.85,1,32.581,18.385,37.4102898411654,29.4354258888475,-0.45,0.09,72.4022222222222,,79.4658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820000000,0.000000000,1260574874.940000000,171684.82,293.85,1,32.581,18.385,37.4102898411654,29.4354258888475,-0.45,0.09,72.4022222222222,,79.4658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820000000,0.000000000,1260574874.950000000,171684.82,293.85,1,32.581,18.385,37.4102898411654,29.4354258888475,-0.45,0.09,72.4022222222222,,79.4658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820000000,0.000000000,1260574874.960000000,171684.82,293.85,1,32.581,18.385,37.4102898411654,29.4354258888475,-0.45,0.09,72.4022222222222,,79.4658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820000000,0.000000000,1260574874.970000000,171684.82,293.85,1,32.581,18.385,37.4102898411654,29.4354258888475,-0.45,0.09,72.4022222222222,,79.4658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820000000,0.000000000,1260574874.980000000,171684.82,293.85,1,32.581,18.385,37.4102898411654,29.4354258888475,-0.45,0.09,72.4022222222222,,79.4658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.820000000,0.000000000,1260574874.990000000,171684.82,293.85,1,32.581,18.385,37.4102898411654,29.4354258888475,-0.45,0.09,72.4022222222222,,79.4658536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
