Time from start of file (s),Time from start of region (s),Time (GPS s),Seconds from midnight Sunday (),Hunter heading (deg),Number of targets (),Target 1 range forward (m),Target 1 range lateral (m),Target 1 range horizontal (m),Target 1 angle to target (deg),Target 1 range velocity forward (m/s),Target 1 range velocity lateral (m/s),Target 1 time to collision forward (),Target 1 time to collision lateral (),Target 1 time gap forward (),Target 2 range forward (m),Target 2 range lateral (m),Target 2 range horizontal (m),Target 2 angle to target (deg),Target 2 range velocity forward (m/s),Target 2 range velocity lateral (m/s),Target 2 time to collision forward (),Target 2 time to collision lateral (),Target 2 time gap forward (),Hunter distance along line 1 (m),Hunter line number to left of A (),Hunter distance lateral from A to line on left of A (m),Hunter velocity lateral of A to line on left of A (m/s),Hunter acceleration lateral of A to line on left of A (m/s²),Hunter line number to right of A (),Hunter distance lateral from A to line on right of A (m),Hunter velocity lateral of A to line on right of A (m/s),Hunter acceleration lateral of A to line on right of A (m/s²),Hunter distance lateral from A to line 1 (m),Hunter distance lateral from A to line 2 (m),Hunter distance lateral from A to line 3 (m),Hunter distance lateral from A to line 4 (m),Hunter distance lateral from A to line 5 (m),Hunter distance lateral from A to line 6 (m),Hunter distance lateral from A to line 7 (m),Hunter distance lateral from A to line 8 (m)
0.410000000,0.000000000,1260572823.510000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.520000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.530000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.540000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.550000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.560000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.570000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.580000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.590000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.600000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.610000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.620000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.630000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.640000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.650000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.660000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.670000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.680000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.690000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410000000,0.000000000,1260572823.700000000,169633.41,294.32,1,36.708,23.958,43.8344958679805,33.1310489956023,-0.03,0.05,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
