timestamp_sec;position_x;position_y;position_z;heading;qx;qy;qz;qw;euler_x;euler_y;euler_z;linear_accel_x;linear_accel_y;linear_accel_z;angular_vel_x;angular_vel_y;angular_vel_z;linear_vel_x;linear_vel_y;linear_vel_z;heading;
1580254817.787379;586636.584449;4208052.668084;-11.557743;2.632005;-0.014490;0.012808;-0.505865;-0.862396;-0.036762;0.012033;-5.221976;-0.017295;-0.014345;-0.006247;0.000501;0.000253;-0.000081;0.001573;-0.003912;-0.002465;2.632005;
1580254817.795430;586636.584404;4208052.668028;-11.557715;2.632002;-0.014491;0.012811;-0.505863;-0.862397;-0.036768;0.012033;-5.221980;-0.005958;0.002052;0.000842;0.000381;-0.000158;-0.000281;0.001596;-0.003743;-0.002413;2.632002;
1580254817.803485;586636.584360;4208052.667975;-11.557686;2.631999;-0.014494;0.012815;-0.505862;-0.862397;-0.036778;0.012035;-5.221982;-0.001887;0.005158;0.006910;0.000670;-0.000240;-0.000259;0.001610;-0.003551;-0.002271;2.631999;
1580254817.812561;586636.584315;4208052.667922;-11.557656;2.631999;-0.014496;0.012817;-0.505862;-0.862398;-0.036784;0.012036;-5.221983;-0.001743;0.011639;0.011111;0.000632;-0.000217;-0.000170;0.001542;-0.003410;-0.002087;2.631999;
1580254817.827384;586636.584234;4208052.667860;-11.557590;2.632001;-0.014494;0.012816;-0.505863;-0.862397;-0.036780;0.012032;-5.221980;0.000895;0.016389;0.003224;0.000292;-0.000413;-0.000000;0.001465;-0.003754;-0.002143;2.632001;
1580254817.836360;586636.584187;4208052.667805;-11.557560;2.632002;-0.014496;0.012815;-0.505863;-0.862397;-0.036779;0.012037;-5.221980;0.009091;0.003383;0.007562;0.000127;0.000204;0.000065;0.001395;-0.003697;-0.001983;2.632002;
1580254817.843446;586636.584141;4208052.667753;-11.557527;2.632003;-0.014498;0.012814;-0.505864;-0.862396;-0.036780;0.012042;-5.221979;0.008859;0.011589;0.013972;0.000194;0.000300;0.000086;0.001392;-0.003503;-0.001761;2.632003;
1580254817.852374;586636.584098;4208052.667700;-11.557496;2.632008;-0.014498;0.012813;-0.505866;-0.862395;-0.036779;0.012043;-5.221974;0.006406;0.013716;0.004101;0.000112;0.000204;0.000286;0.001438;-0.003411;-0.001798;2.632008;
1580254817.867419;586636.584018;4208052.667650;-11.557427;2.632001;-0.014503;0.012815;-0.505863;-0.862397;-0.036787;0.012049;-5.221980;0.018098;0.018918;0.010206;0.000937;0.000429;-0.000216;0.001472;-0.003158;-0.001674;2.632001;
1580254817.876669;586636.583976;4208052.667599;-11.557394;2.632002;-0.014503;0.012815;-0.505863;-0.862397;-0.036787;0.012049;-5.221980;0.003454;0.016737;0.003813;0.000226;0.000021;-0.000055;0.001511;-0.003177;-0.001627;2.632002;
1580254817.883411;586636.583936;4208052.667546;-11.557361;2.631996;-0.014497;0.012814;-0.505861;-0.862398;-0.036781;0.012041;-5.221986;0.005270;0.014868;-0.000421;-0.000415;-0.000171;-0.000330;0.001623;-0.003382;-0.001628;2.631996;
1580254817.892235;586636.583898;4208052.667495;-11.557327;2.631998;-0.014494;0.012815;-0.505862;-0.862398;-0.036778;0.012034;-5.221983;0.006602;0.009489;0.004829;-0.000463;-0.000311;-0.000052;0.001735;-0.003396;-0.001496;2.631998;
1580254817.907767;586636.583823;4208052.667447;-11.557258;2.632000;-0.014497;0.012817;-0.505862;-0.862397;-0.036785;0.012037;-5.221982;0.019683;0.014745;0.000120;0.000055;-0.000465;0.000132;0.001745;-0.003132;-0.001559;2.632000;
1580254817.915599;586636.583785;4208052.667397;-11.557226;2.631997;-0.014493;0.012817;-0.505861;-0.862398;-0.036781;0.012030;-5.221985;0.003267;0.004372;-0.006081;-0.000377;-0.000302;-0.000197;0.001726;-0.003364;-0.001580;2.631997;
1580254817.923540;586636.583746;4208052.667348;-11.557191;2.631997;-0.014492;0.012815;-0.505861;-0.862398;-0.036777;0.012030;-5.221985;0.004778;0.001539;0.007309;-0.000373;-0.000045;-0.000082;0.001622;-0.003398;-0.001362;2.631997;
