timestamp_sec;id;theta;type;position_x;position_y;position_z;velocity_x;velocity_y;velocity_z;acceleration_x;acceleration_y;acceleration_z;
1580256257.160669;80308;0.957700;3;586615.304138;4208097.961663;-9.739618;0.000000;-0.000000;0.000000;0.000011;-0.000003;0.000000;
1580256257.265826;80308;0.860340;3;586615.025751;4208097.952049;-9.829733;-0.786658;-0.202057;0.000000;-0.016253;-0.004176;0.000000;
1580256258.115359;80314;0.426386;3;586614.706097;4208097.818990;-9.901846;0.000000;0.000000;0.000000;-0.001247;0.000074;0.000000;
1580256258.225491;80314;0.628833;3;586614.835014;4208097.786339;-9.837502;-0.000000;0.000000;0.000000;-0.000288;-0.000023;0.000000;
1580256258.288018;80314;0.514703;3;586614.996625;4208097.815799;-9.788107;-0.000000;-0.000000;0.000000;0.000079;0.000025;0.000000;
1580256258.362286;80314;0.451821;3;586614.872566;4208097.812634;-9.904663;0.000000;0.000000;0.000000;-0.000093;0.000007;0.000000;
1580256258.428965;80314;0.646581;3;586614.620120;4208097.806986;-9.893883;-0.651705;0.055721;0.000000;-0.013464;0.001150;0.000000;
1580256258.484914;80314;0.619548;3;586614.486883;4208097.724240;-9.861500;-0.910414;-0.018700;0.000000;-0.010490;-0.001106;0.000000;
1580256258.678921;80314;0.435249;3;586614.510799;4208097.771537;-9.847311;-0.798885;0.022726;0.000000;-1.371632;0.041804;0.000000;
1580256258.821397;80314;0.556126;3;586614.644328;4208097.768390;-9.812793;-0.564324;0.007392;0.000000;-0.333434;-0.070377;0.000000;
1580256258.904452;80314;0.573773;3;586614.844802;4208097.738824;-9.778328;-0.277107;-0.033837;0.000000;0.992467;-0.052513;0.000000;
1580256259.033031;80314;0.981708;3;586614.804187;4208097.621673;-9.906292;-0.000000;-0.000000;0.000000;2.216089;-0.073428;0.000000;
1580256259.277717;80314;0.777868;3;586615.074614;4208097.522054;-9.885891;0.000000;-0.000000;0.000000;2.130972;-0.044322;0.000000;
1580256259.371684;80314;0.915846;3;586615.105303;4208097.352977;-9.857882;0.087357;-0.678244;0.000000;1.637592;-1.544032;0.000000;
1580256259.857056;80321;0.355119;3;586614.925585;4208096.769071;-9.756083;-0.244935;-0.823365;0.000000;-0.515058;-0.162856;0.000000;
1580256259.940437;80321;0.454113;3;586614.818325;4208096.719866;-9.704451;-0.504258;-0.943868;0.000000;-1.179560;-0.375458;0.000000;
1580256260.013023;80321;-0.037931;3;586615.215691;4208096.713972;-9.894920;-0.272373;-0.971802;0.000000;-0.703055;-0.745690;0.000000;
1580256260.076451;80321;-0.177188;3;586615.231816;4208096.631563;-9.851995;-0.246968;-1.068749;0.000000;-0.265060;-0.843284;0.000000;
1580256260.199174;80321;0.017298;3;586614.986327;4208096.401958;-9.734966;-0.430752;-1.133245;0.000000;0.064220;-0.750562;0.000000;
1580256260.296487;80321;0.016862;3;586615.129364;4208096.309618;-9.701869;-0.137499;-1.099609;0.000000;0.339634;-0.576447;0.000000;
1580256260.438212;80321;-0.031701;3;586615.128222;4208096.343507;-9.912073;0.032251;-0.855747;0.000000;0.617370;0.171478;0.000000;
1580256260.496621;80321;0.028153;3;586614.809896;4208096.296270;-9.874038;-0.169092;-0.876586;0.000000;0.680462;0.506865;0.000000;
1580256260.588143;80321;0.124674;3;586614.822532;4208096.121220;-9.800008;-0.084092;-0.863799;0.000000;0.344977;0.596729;0.000000;
1580256260.734453;80321;-0.298239;3;586614.841872;4208096.129338;-9.749613;0.004611;-0.830733;0.000000;0.068397;0.271902;0.000000;
1580256260.810873;80321;-0.449964;3;586615.010784;4208096.119046;-9.688046;0.283098;-0.714264;0.000000;1.097346;0.486354;0.000000;
1580256260.916378;80321;-0.274232;3;586614.910501;4208096.013702;-9.917467;0.085326;-0.776384;0.000000;0.789709;0.382373;0.000000;
1580256261.025603;80321;-0.077796;3;586615.102194;4208095.961427;-9.899707;0.411478;-0.728749;0.000000;1.253741;0.382821;0.000000;
1580256261.115530;80321;-0.131656;3;586615.170268;4208095.926978;-9.819979;0.609818;-0.586150;0.000000;1.228286;0.445188;0.000000;
1580256261.208262;80321;0.102081;3;586615.163493;4208095.827860;-9.768067;0.452245;-0.674477;0.000000;1.311391;0.401603;0.000000;
1580256261.386556;80321;-0.201427;3;586615.255932;4208095.702061;-9.601915;0.583948;-0.584379;0.000000;0.786514;0.404261;0.000000;
1580256261.458133;80321;-0.230225;3;586615.187201;4208095.577273;-9.891395;0.377855;-0.648816;0.000000;-0.117188;0.037661;0.000000;
1580256261.518020;80321;-0.285294;3;586614.983738;4208095.368083;-9.863628;0.125830;-0.717650;0.000000;-0.612948;-0.059823;0.000000;
1580256261.624946;80321;-0.350990;3;586614.913318;4208095.265472;-9.781325;-0.012734;-0.735492;0.000000;-1.611128;-0.372436;0.000000;
1580256261.691122;80321;-0.373889;3;586615.086714;4208095.274676;-9.710157;0.234279;-0.685986;0.000000;-0.913297;-0.219418;0.000000;
1580256261.786087;80321;-0.427647;3;586614.823887;4208095.109801;-9.957445;-0.018575;-0.788093;0.000000;-0.683942;-0.248718;0.000000;
1580256261.873296;80321;-0.211494;3;586615.002843;4208095.045835;-9.925454;0.200395;-0.808855;0.000000;0.249310;-0.264172;0.000000;
1580256261.938120;80321;-0.325319;3;586614.878754;4208094.996226;-9.865319;-0.112275;-0.771282;0.000000;-0.737008;-0.296236;0.000000;
1580256262.035822;80321;-0.722704;3;586614.541710;4208094.819115;-8.907795;-0.219597;-0.779100;0.000000;-0.742342;-0.087905;0.000000;
1580256262.125064;80321;-0.790982;3;586614.703603;4208094.764878;-9.682198;-0.285308;-0.771250;0.000000;-1.414444;0.053860;0.000000;
1580256262.183147;80321;-0.350204;3;586614.879517;4208094.835610;-9.621359;-0.076449;-0.712835;0.000000;-0.424230;0.156000;0.000000;
1580256262.260734;80321;-0.180870;3;586614.662606;4208094.623996;-9.926599;-0.349938;-0.851926;0.000000;-0.474976;-0.117649;0.000000;
1580256262.448578;80321;-0.309345;3;586614.774415;4208094.492703;-9.881949;-0.213636;-0.754819;0.000000;-0.043943;-0.008623;0.000000;
1580256262.536588;80321;-0.635129;3;586614.787157;4208094.410106;-9.812989;-0.025702;-0.912342;0.000000;0.071117;-0.358185;0.000000;
1580256262.656653;80321;-0.382422;3;586614.787855;4208094.241623;-9.582870;-0.040048;-0.862507;0.000000;0.569475;-0.146236;0.000000;
1580256262.726619;80321;-0.422921;3;586614.846133;4208094.187985;-9.633358;0.163700;-0.691369;0.000000;1.092534;0.097795;0.000000;
1580256262.832978;80321;-0.364160;3;586614.771663;4208094.034293;-9.524979;-0.061548;-0.875447;0.000000;0.306533;0.116267;0.000000;
1580256262.947415;80321;-0.406775;3;586614.897853;4208094.015334;-9.494313;0.092690;-0.743576;0.000000;0.433324;0.323152;0.000000;
1580256263.011960;80321;-0.398851;3;586614.845343;4208093.972427;-9.452495;0.034159;-0.758544;0.000000;-0.141386;-0.039833;0.000000;
1580256263.121464;80321;-0.384716;3;586614.829050;4208093.892355;-9.417395;-0.069475;-0.754420;0.000000;-0.065027;0.270672;0.000000;
1580256263.202305;80321;-0.151227;3;586614.847955;4208093.811669;-9.369796;-0.017264;-0.884190;0.000000;-0.278079;-0.232987;0.000000;
1580256263.280921;80321;-0.210874;3;586614.854869;4208093.714705;-9.353613;0.014643;-0.922396;0.000000;-0.144316;-0.466239;0.000000;
1580256263.354936;80321;-0.292273;3;586614.859115;4208093.656946;-9.347596;0.037904;-0.915425;0.000000;0.199764;-0.548084;0.000000;
1580256263.401228;80321;-0.353366;3;586614.826514;4208093.587726;-9.344545;0.041113;-0.768975;0.000000;0.207133;0.074305;0.000000;
1580256263.578493;80321;-0.329489;3;586614.834145;4208093.586303;-9.343930;0.000000;-0.000000;0.000000;0.050080;2.068129;0.000000;
