timestamp_sec;position_x;position_y;position_z;heading;qx;qy;qz;qw;euler_x;euler_y;euler_z;linear_accel_x;linear_accel_y;linear_accel_z;angular_vel_x;angular_vel_y;angular_vel_z;linear_vel_x;linear_vel_y;linear_vel_z;heading;
1580256988.969316;586608.056107;4208068.993000;-10.738398;2.215852;-0.024189;0.004987;-0.316617;-0.948232;-0.024800;0.042729;-5.638130;1.262335;0.324021;0.127147;-0.021376;0.012707;-0.249754;-3.104920;3.789556;0.229591;2.215852;
1580256989.561351;586606.432833;4208071.271958;-10.625165;2.052077;-0.025167;0.000536;-0.238095;-0.970916;-0.013219;0.048350;-5.799061;2.377465;-0.002767;0.032571;0.025966;0.055272;-0.560871;-2.295922;3.978874;0.202852;2.052077;
1580256989.570119;586606.409603;4208071.311581;-10.623305;2.049227;-0.025290;0.000450;-0.236711;-0.971251;-0.012862;0.048931;-5.804755;1.292461;0.062395;-0.008601;0.016888;0.028959;-0.283391;-2.282864;3.980646;0.202835;2.049227;
1580256989.585468;586606.386506;4208071.351188;-10.621439;2.046365;-0.025407;0.000369;-0.235322;-0.971585;-0.012690;0.049216;-5.807617;1.272815;0.000698;0.030915;0.017140;0.028683;-0.284325;-2.270148;3.980247;0.203533;2.046365;
1580256989.594002;586606.363584;4208071.390878;-10.619720;2.043471;-0.025543;0.000279;-0.233916;-0.971921;-0.012507;0.049541;-5.810511;2.629303;0.112565;-0.083627;0.037009;0.059365;-0.572072;-2.256761;3.982779;0.201857;2.043471;
1580256989.602069;586606.340752;4208071.430517;-10.617862;2.040585;-0.025666;0.000189;-0.232514;-0.972254;-0.012319;0.049841;-5.813397;1.392608;0.029224;-0.003541;0.018479;0.030152;-0.287151;-2.242497;3.982630;0.202341;2.040585;
1580256989.609162;586606.318053;4208071.470149;-10.615991;2.037681;-0.025794;0.000087;-0.231103;-0.972587;-0.012107;0.050155;-5.816301;1.409192;-0.004509;0.083009;0.018480;0.031720;-0.288300;-2.228949;3.982440;0.203968;2.037681;
1580256989.625226;586606.295530;4208071.509839;-10.614262;2.034750;-0.025915;-0.000031;-0.229679;-0.972921;-0.011860;0.050462;-5.819231;2.829532;0.119718;0.003727;0.035186;0.067299;-0.579709;-2.215481;3.983241;0.203055;2.034750;
1580256989.634223;586606.273115;4208071.549486;-10.612390;2.031820;-0.026038;-0.000140;-0.228255;-0.973253;-0.011629;0.050769;-5.822162;1.496684;0.006846;0.067029;0.017112;0.034101;-0.291405;-2.200315;3.983247;0.204080;2.031820;
1580256989.640910;586606.250832;4208071.589159;-10.610508;2.028867;-0.026167;-0.000252;-0.226819;-0.973585;-0.011629;0.050769;-5.822162;1.496721;0.002433;0.066504;0.017110;0.034103;-0.291405;-2.186209;3.984312;0.205097;2.028867;
1580256989.649231;586606.228701;4208071.628816;-10.608620;2.025902;-0.026290;-0.000368;-0.225376;-0.973917;-0.011149;0.051396;-5.828080;1.432920;0.065594;0.081737;0.017283;0.035179;-0.294200;-2.172277;3.985144;0.205845;2.025902;
1580256989.658327;586606.206732;4208071.668497;-10.606720;2.022926;-0.026408;-0.000472;-0.223928;-0.974248;-0.010921;0.051690;-5.831056;1.470191;0.121722;0.095797;0.016858;0.034276;-0.295280;-2.156667;3.986942;0.206898;2.022926;
1580256989.673036;586606.184975;4208071.708268;-10.604955;2.019934;-0.026529;-0.000544;-0.222471;-0.974578;-0.010759;0.051974;-5.834048;2.886273;0.296365;0.123420;0.035083;0.062777;-0.593020;-2.140705;3.989266;0.206927;2.019934;
1580256989.680978;586606.163325;4208071.747978;-10.603036;2.016951;-0.026647;-0.000612;-0.221018;-0.974905;-0.010601;0.052252;-5.837031;1.430592;0.084804;0.153258;0.018006;0.027981;-0.297214;-2.125088;3.990055;0.208903;2.016951;
1580256989.688985;586606.141829;4208071.787708;-10.601119;2.013960;-0.026768;-0.000666;-0.219560;-0.975231;-0.010469;0.052526;-5.840021;1.430994;0.076280;0.074028;0.018591;0.025711;-0.297818;-2.109599;3.991158;0.208817;2.013960;
1580256989.697723;586606.120477;4208071.827473;-10.599209;2.010962;-0.026886;-0.000713;-0.218098;-0.975556;-0.010351;0.052792;-5.843020;1.443723;0.099257;-0.006475;0.018822;0.023933;-0.298427;-2.094081;3.992657;0.207773;2.010962;
1580256989.714615;586606.099330;4208071.867302;-10.597422;2.007959;-0.027013;-0.000740;-0.216633;-0.975879;-0.010273;0.053070;-5.846023;2.709698;0.414354;0.031118;0.039989;0.043865;-0.598207;-2.080474;3.997216;0.207838;2.007959;
1580256989.721357;586606.078252;4208071.907112;-10.595517;2.004955;-0.027137;-0.000776;-0.215166;-0.976200;-0.010177;0.053341;-5.849027;1.316862;0.188317;-0.089305;0.020471;0.020642;-0.299580;-2.066953;3.998934;0.206353;2.004955;
1580256989.732527;586606.057313;4208071.946947;-10.593620;2.001945;-0.027260;-0.000809;-0.213697;-0.976519;-0.010086;0.053611;-5.852037;1.344799;0.172135;-0.090989;0.020625;0.020042;-0.300031;-2.052886;4.000704;0.205370;2.001945;
1580256989.745300;586606.036558;4208071.986838;-10.591872;1.998947;-0.027391;-0.000846;-0.212233;-0.976835;-0.009989;0.053899;-5.855035;2.727448;0.243372;-0.260764;0.042559;0.040582;-0.599378;-2.039313;4.001713;0.203621;1.998947;
