timestamp_sec;position_x;position_y;position_z;heading;qx;qy;qz;qw;euler_x;euler_y;euler_z;linear_accel_x;linear_accel_y;linear_accel_z;angular_vel_x;angular_vel_y;angular_vel_z;linear_vel_x;linear_vel_y;linear_vel_z;heading;
1580257000.113097;586608.037191;4208088.304693;-9.421396;0.752712;0.017396;-0.001794;-0.397589;0.917397;0.010548;0.033351;-0.818084;-3.234428;-2.933988;-2.236561;-0.048393;0.072145;-0.131704;0.363037;0.403421;0.058632;0.752712;
1580257000.809228;586608.074111;4208088.343473;-9.425692;0.747693;0.022507;-0.004528;-0.399826;0.916303;0.009709;0.044883;-0.823103;-0.536775;-0.513740;-0.148912;-0.012038;0.020745;-0.003266;-0.010222;-0.018803;0.045745;0.747693;
1580257000.826763;586608.073892;4208088.343350;-9.425266;0.747662;0.022405;-0.004470;-0.399842;0.916299;0.009735;0.044649;-0.823134;-1.121859;-0.990420;-0.202970;-0.026135;0.040280;-0.006347;-0.015370;-0.023744;0.045320;0.747662;
1580257000.832899;586608.073676;4208088.343154;-9.424851;0.747619;0.022325;-0.004420;-0.399863;0.916292;0.009763;0.044461;-0.823177;-0.542102;-0.510040;-0.253302;-0.011362;0.016730;-0.003813;-0.019545;-0.028254;0.041915;0.747619;
1580257000.840974;586608.073411;4208088.342901;-9.424464;0.747579;0.022231;-0.004368;-0.399882;0.916287;0.009784;0.044248;-0.823217;-0.460066;-0.470359;-0.281348;-0.012316;0.016915;-0.003845;-0.023695;-0.033100;0.038881;0.747579;
1580257000.850712;586608.073121;4208088.342627;-9.424091;0.747553;0.022156;-0.004324;-0.399895;0.916283;0.009807;0.044075;-0.823244;-0.404348;-0.400169;-0.214229;-0.011149;0.015513;-0.003171;-0.026616;-0.035882;0.037353;0.747553;
1580257000.858477;586608.072806;4208088.342321;-9.423769;0.747529;0.022097;-0.004281;-0.399907;0.916280;0.009838;0.043932;-0.823267;-0.363019;-0.405472;-0.336356;-0.009348;0.014133;-0.002712;-0.029173;-0.039090;0.032695;0.747529;
1580257000.873265;586608.072452;4208088.342039;-9.423496;0.747525;0.022057;-0.004254;-0.399909;0.916280;0.009855;0.043837;-0.823271;-0.576537;-0.654831;-0.698473;-0.015826;0.024017;-0.003495;-0.029203;-0.039656;0.029295;0.747525;
1580257000.881282;586608.072126;4208088.341707;-9.423246;0.747512;0.022027;-0.004235;-0.399915;0.916278;0.009867;0.043766;-0.823285;-0.201797;-0.202385;-0.401281;-0.005072;0.007778;-0.001388;-0.029567;-0.040342;0.024686;0.747512;
1580257000.889135;586608.071781;4208088.341345;-9.423044;0.747499;0.021985;-0.004212;-0.399922;0.916276;0.009876;0.043670;-0.823297;-0.145245;-0.196003;-0.451502;-0.005505;0.007710;-0.001280;-0.030515;-0.042414;0.019710;0.747499;
1580257000.897627;586608.071458;4208088.341000;-9.422854;0.747505;0.021970;-0.004209;-0.399919;0.916277;0.009868;0.043643;-0.823291;-0.102994;-0.102444;-0.311120;-0.004041;0.004743;-0.000402;-0.029708;-0.041686;0.018119;0.747505;
1580257000.914094;586608.071125;4208088.340721;-9.422752;0.747517;0.021991;-0.004216;-0.399914;0.916279;0.009872;0.043686;-0.823279;-0.027027;-0.068805;-0.889821;-0.001855;0.002780;0.000563;-0.026965;-0.039453;0.011502;0.747517;
1580257000.922198;586608.070825;4208088.340398;-9.422654;0.747534;0.021998;-0.004222;-0.399905;0.916283;0.009867;0.043704;-0.823262;0.036236;0.063768;-0.349064;0.000191;-0.000416;0.001136;-0.025627;-0.037691;0.009162;0.747534;
1580257000.929367;586608.070563;4208088.340119;-9.422593;0.747554;0.022044;-0.004248;-0.399896;0.916286;0.009855;0.043808;-0.823242;0.060632;0.136438;-0.339741;0.003381;-0.004629;0.001561;-0.022807;-0.034099;0.005868;0.747554;
1580257000.945170;586608.070285;4208088.339889;-9.422604;0.747577;0.022086;-0.004274;-0.399885;0.916289;0.009841;0.043907;-0.823219;0.299128;0.318818;-0.828874;0.008936;-0.012538;0.003540;-0.019326;-0.031429;0.001312;0.747577;
1580257000.953177;586608.070074;4208088.339661;-9.422613;0.747609;0.022146;-0.004309;-0.399869;0.916294;0.009823;0.044046;-0.823187;0.172653;0.269237;-0.244430;0.006946;-0.009805;0.002858;-0.016130;-0.027196;-0.000677;0.747609;
1580257000.961019;586608.069880;4208088.339458;-9.422663;0.747624;0.022205;-0.004346;-0.399862;0.916296;0.009804;0.044182;-0.823172;0.173620;0.262230;-0.354404;0.007496;-0.010719;0.001967;-0.013940;-0.024290;-0.004979;0.747624;
1580257000.969848;586608.069706;4208088.339279;-9.422725;0.747645;0.022258;-0.004384;-0.399852;0.916299;0.009776;0.044311;-0.823151;0.185659;0.278525;-0.235299;0.007059;-0.011029;0.001987;-0.011857;-0.021528;-0.006288;0.747645;
1580257000.985295;586608.069578;4208088.339160;-9.422793;0.747668;0.022344;-0.004440;-0.399840;0.916302;0.009742;0.044512;-0.823128;0.194166;0.328504;-0.133210;0.009038;-0.013931;0.002065;-0.008448;-0.016697;-0.006497;0.747668;
1580257000.993470;586608.069413;4208088.339107;-9.422910;0.747683;0.022423;-0.004478;-0.399832;0.916303;0.009735;0.044689;-0.823113;0.386140;0.636851;-0.353761;0.020530;-0.027772;0.003584;-0.006976;-0.013234;-0.008444;0.747683;
1580257001.001101;586608.069321;4208088.339055;-9.422997;0.747705;0.022510;-0.004532;-0.399821;0.916306;0.009704;0.044892;-0.823091;0.181796;0.348050;0.004794;0.010840;-0.015500;0.001973;-0.004117;-0.008951;-0.007477;0.747705;
1580257001.009118;586608.069258;4208088.339040;-9.423102;0.747711;0.022603;-0.004586;-0.399817;0.916305;0.009680;0.045105;-0.823085;0.232852;0.335653;-0.080323;0.011843;-0.016423;0.001198;-0.000885;-0.005157;-0.009018;0.747711;
1580257001.025219;586608.069194;4208088.339026;-9.423199;0.747709;0.022664;-0.004631;-0.399818;0.916303;0.009646;0.045253;-0.823088;0.222489;0.297281;-0.016367;0.009764;-0.014853;0.000425;0.000465;-0.003548;-0.008518;0.747709;
1580257001.034281;586608.069133;4208088.339105;-9.423277;0.747710;0.022744;-0.004688;-0.399816;0.916301;0.009605;0.045444;-0.823086;0.469583;0.674419;0.272373;0.019693;-0.031352;0.000495;0.003487;0.000452;-0.005476;0.747710;
1580257001.042241;586608.069114;4208088.339143;-9.423352;0.747705;0.022800;-0.004735;-0.399818;0.916299;0.009565;0.045584;-0.823091;0.218916;0.219379;0.032292;0.007967;-0.014131;-0.000319;0.004642;0.000996;-0.005615;0.747705;
1580257001.049230;586608.069122;4208088.339214;-9.423390;0.747701;0.022861;-0.004791;-0.399820;0.916296;0.009511;0.045741;-0.823096;0.184958;0.252775;0.218921;0.007332;-0.014668;-0.000529;0.006428;0.003562;-0.001792;0.747701;
1580257001.065008;586608.069103;4208088.339336;-9.423441;0.747690;0.022915;-0.004836;-0.399824;0.916293;0.009472;0.045877;-0.823106;0.418254;0.424674;0.319480;0.014145;-0.027907;-0.001585;0.007825;0.004514;-0.001062;0.747690;
1580257001.073328;586608.069129;4208088.339425;-9.423443;0.747676;0.022955;-0.004879;-0.399830;0.916289;0.009425;0.045985;-0.823121;0.151435;0.149171;0.282781;0.004630;-0.011669;-0.001492;0.008509;0.005269;0.002578;0.747676;
1580257001.081016;586608.069179;4208088.339540;-9.423421;0.747666;0.023005;-0.004925;-0.399834;0.916285;0.009381;0.046113;-0.823130;0.162725;0.165680;0.269659;0.005151;-0.012111;-0.001274;0.010391;0.007331;0.005199;0.747666;
1580257001.089479;586608.069229;4208088.339638;-9.423396;0.747644;0.023033;-0.004959;-0.399844;0.916280;0.009342;0.046191;-0.823152;0.177175;0.064860;0.135985;0.003705;-0.010138;-0.001865;0.011329;0.006437;0.005363;0.747644;
1580257001.098710;586608.069261;4208088.339720;-9.423318;0.747622;0.023041;-0.004985;-0.399855;0.916275;0.009300;0.046227;-0.823175;0.083860;0.013367;0.291143;0.001655;-0.007895;-0.002150;0.010043;0.005065;0.009949;0.747622;
1580257001.113978;586608.069275;4208088.339858;-9.423249;0.747619;0.023067;-0.005011;-0.399856;0.916274;0.009273;0.046295;-0.823178;0.190641;0.013647;0.464680;0.004366;-0.015271;-0.002793;0.010832;0.005026;0.010966;0.747619;
1580257001.121015;586608.069309;4208088.339921;-9.423137;0.747604;0.023058;-0.005024;-0.399863;0.916271;0.009243;0.046289;-0.823192;0.069451;-0.087242;0.230522;-0.000812;-0.003780;-0.001498;0.009552;0.002444;0.013824;0.747604;
1580257001.129299;586608.069349;4208088.340000;-9.422982;0.747598;0.023066;-0.005038;-0.399866;0.916270;0.009225;0.046315;-0.823198;0.012681;-0.044298;0.350862;-0.000094;-0.003448;-0.001063;0.008966;0.002765;0.018446;0.747598;
1580257001.145021;586608.069400;4208088.340074;-9.422826;0.747588;0.023075;-0.005045;-0.399870;0.916267;0.009219;0.046338;-0.823208;0.072528;-0.054551;0.210707;0.000465;-0.002787;-0.001048;0.009994;0.002422;0.019065;0.747588;
1580257001.154683;586608.069366;4208088.340122;-9.422661;0.747584;0.023041;-0.005034;-0.399873;0.916267;0.009212;0.046267;-0.823212;0.001223;-0.293753;0.430938;-0.004052;0.000835;-0.001765;0.007036;-0.001368;0.021745;0.747584;
1580257001.161963;586608.069392;4208088.340156;-9.422458;0.747588;0.023038;-0.005033;-0.399871;0.916268;0.009212;0.046259;-0.823209;-0.024867;-0.112593;0.196865;-0.001200;0.000604;-0.000019;0.006874;-0.001830;0.023153;0.747588;
1580257001.169085;586608.069391;4208088.340145;-9.422255;0.747587;0.023007;-0.005014;-0.399872;0.916268;0.009221;0.046188;-0.823210;-0.029893;-0.201014;0.073324;-0.002765;0.003339;-0.000045;0.005177;-0.005343;0.022794;0.747587;
