timestamp_sec;position_x;position_y;position_z;heading;qx;qy;qz;qw;euler_x;euler_y;euler_z;linear_accel_x;linear_accel_y;linear_accel_z;angular_vel_x;angular_vel_y;angular_vel_z;linear_vel_x;linear_vel_y;linear_vel_z;heading;
1580257821.860919;586636.685081;4208052.839138;-11.536122;2.692705;-0.014023;0.012268;-0.531821;-0.846652;-0.035698;0.010697;-5.161277;-0.012248;-0.008685;-0.005145;-0.000227;-0.000159;0.000209;-0.001877;0.000564;-0.001799;2.692705;
1580257821.868819;586636.685052;4208052.839140;-11.536137;2.692700;-0.014021;0.012267;-0.531819;-0.846653;-0.035695;0.010695;-5.161281;-0.012638;0.003871;-0.005168;-0.000289;-0.000123;-0.000112;-0.002036;0.000687;-0.001848;2.692700;
1580257821.885025;586636.685020;4208052.839135;-11.536148;2.692701;-0.014018;0.012270;-0.531820;-0.846653;-0.035698;0.010686;-5.161281;-0.006247;-0.029896;-0.007591;-0.000473;-0.000954;-0.000124;-0.001799;0.000287;-0.001869;2.692701;
1580257821.892172;586636.684989;4208052.839135;-11.536164;2.692697;-0.014019;0.012269;-0.531818;-0.846654;-0.035696;0.010689;-5.161284;-0.006469;0.002086;-0.007874;-0.000117;0.000052;-0.000211;-0.002135;0.000472;-0.001973;2.692697;
1580257821.899234;586636.684961;4208052.839133;-11.536181;2.692697;-0.014016;0.012269;-0.531818;-0.846654;-0.035693;0.010683;-5.161285;-0.001215;0.000568;-0.009303;-0.000347;-0.000214;-0.000143;-0.001976;0.000338;-0.002071;2.692697;
1580257821.907964;586636.684936;4208052.839129;-11.536198;2.692694;-0.014013;0.012270;-0.531817;-0.846654;-0.035692;0.010677;-5.161287;0.009171;-0.010337;-0.006846;-0.000347;-0.000355;-0.000174;-0.001714;0.000108;-0.002113;2.692694;
1580257821.923410;586636.684900;4208052.839130;-11.536214;2.692691;-0.014015;0.012271;-0.531816;-0.846655;-0.035696;0.010680;-5.161290;0.020877;0.005516;-0.016904;0.000037;-0.000289;-0.000459;-0.001677;0.000477;-0.002232;2.692691;
1580257821.931766;586636.684877;4208052.839130;-11.536233;2.692690;-0.014015;0.012274;-0.531815;-0.846656;-0.035700;0.010677;-5.161292;0.011958;-0.002142;-0.007201;0.000169;-0.000314;-0.000198;-0.001497;0.000448;-0.002290;2.692690;
1580257821.939551;586636.684853;4208052.839130;-11.536252;2.692686;-0.014016;0.012275;-0.531813;-0.846657;-0.035703;0.010677;-5.161296;0.014131;-0.004849;-0.004175;0.000208;-0.000223;-0.000306;-0.001388;0.000382;-0.002306;2.692686;
1580257821.948697;586636.684830;4208052.839128;-11.536273;2.692688;-0.014014;0.012274;-0.531814;-0.846656;-0.035699;0.010675;-5.161294;0.014438;-0.000269;-0.011468;-0.000101;-0.000122;-0.000058;-0.001287;0.000260;-0.002486;2.692688;
1580257821.963371;586636.684801;4208052.839124;-11.536291;2.692685;-0.014013;0.012274;-0.531813;-0.846657;-0.035698;0.010673;-5.161296;0.026889;0.000285;-0.017466;-0.000327;-0.000282;-0.000206;-0.001212;0.000263;-0.002510;2.692685;
1580257821.971369;586636.684779;4208052.839126;-11.536313;2.692686;-0.014015;0.012274;-0.531813;-0.846657;-0.035700;0.010676;-5.161296;0.007681;0.012747;-0.002373;0.000159;0.000087;-0.000070;-0.001237;0.000553;-0.002525;2.692686;
1580257821.979554;586636.684761;4208052.839126;-11.536335;2.692687;-0.014014;0.012274;-0.531814;-0.846656;-0.035700;0.010675;-5.161295;0.013797;0.004230;-0.004968;0.000043;-0.000025;0.000040;-0.000995;0.000453;-0.002592;2.692687;
1580257821.988023;586636.684743;4208052.839123;-11.536359;2.692689;-0.014011;0.012273;-0.531815;-0.846656;-0.035694;0.010671;-5.161292;0.013332;-0.002429;-0.009467;-0.000335;-0.000057;0.000128;-0.000852;0.000162;-0.002723;2.692689;
1580257822.003464;586636.684715;4208052.839126;-11.536380;2.692689;-0.014014;0.012273;-0.531815;-0.846656;-0.035698;0.010677;-5.161293;0.015128;0.010238;-0.015832;0.000146;0.000114;0.000104;-0.001004;0.000545;-0.002788;2.692689;
1580257822.010603;586636.684694;4208052.839128;-11.536405;2.692694;-0.014017;0.012270;-0.531817;-0.846654;-0.035696;0.010684;-5.161288;0.001840;0.004484;-0.009109;0.000143;0.000545;0.000343;-0.001163;0.000532;-0.002887;2.692694;
1580257822.017648;586636.684675;4208052.839128;-11.536431;2.692695;-0.014017;0.012269;-0.531817;-0.846654;-0.035694;0.010686;-5.161286;0.001503;-0.005793;-0.009716;0.000043;0.000425;0.000227;-0.001099;0.000326;-0.002986;2.692695;
1580257822.027599;586636.684657;4208052.839127;-11.536458;2.692698;-0.014017;0.012267;-0.531818;-0.846654;-0.035690;0.010687;-5.161284;0.002310;-0.003071;-0.008379;-0.000165;0.000329;0.000245;-0.001024;0.000207;-0.003050;2.692698;
1580257822.043584;586636.684667;4208052.839211;-11.536453;2.692530;-0.014056;0.012307;-0.531746;-0.846698;-0.035799;0.010715;-5.161452;-0.004846;0.002614;-0.009515;-0.000576;-0.000285;0.000634;-0.000816;0.000152;-0.003023;2.692530;
1580257822.051781;586636.684672;4208052.839245;-11.536462;2.692530;-0.014059;0.012306;-0.531746;-0.846698;-0.035800;0.010721;-5.161452;-0.008753;-0.001115;-0.007459;0.000112;0.000198;0.000109;-0.001161;0.000364;-0.003107;2.692530;
1580257822.059308;586636.684674;4208052.839278;-11.536472;2.692531;-0.014063;0.012303;-0.531747;-0.846697;-0.035800;0.010721;-5.161452;-0.008753;-0.001115;-0.007459;0.000112;0.000198;0.000109;-0.001424;0.000349;-0.003282;2.692531;
1580257822.068564;586636.684679;4208052.839307;-11.536482;2.692531;-0.014061;0.012302;-0.531747;-0.846697;-0.035795;0.010728;-5.161451;-0.010566;-0.000934;-0.012027;-0.000124;0.000257;0.000064;-0.001393;0.000213;-0.003352;2.692531;
1580257822.083614;586636.684692;4208052.839373;-11.536499;2.692531;-0.014062;0.012305;-0.531747;-0.846697;-0.035801;0.010726;-5.161451;-0.029379;0.008896;-0.024566;0.000231;-0.000041;-0.000023;-0.001410;0.000474;-0.003449;2.692531;
1580257822.091342;586636.684697;4208052.839406;-11.536512;2.692536;-0.014061;0.012307;-0.531749;-0.846696;-0.035804;0.010722;-5.161445;-0.009017;0.000326;-0.009218;0.000128;-0.000313;0.000379;-0.001338;0.000419;-0.003494;2.692536;
1580257822.099308;586636.684699;4208052.839440;-11.536525;2.692539;-0.014061;0.012308;-0.531750;-0.846695;-0.035806;0.010721;-5.161443;-0.011609;0.002016;-0.005699;0.000128;-0.000229;0.000320;-0.001510;0.000451;-0.003500;2.692539;
1580257822.107886;586636.684699;4208052.839472;-11.536539;2.692538;-0.014061;0.012307;-0.531750;-0.846695;-0.035804;0.010722;-5.161443;-0.008408;0.000358;-0.002215;0.000014;-0.000051;0.000117;-0.001645;0.000381;-0.003462;2.692538;
1580257822.123646;586636.684711;4208052.839538;-11.536555;2.692530;-0.014062;0.012312;-0.531746;-0.846697;-0.035814;0.010719;-5.161452;-0.016788;-0.004110;0.009909;0.000584;-0.000662;-0.000589;-0.001577;0.000543;-0.003277;2.692530;
1580257822.132261;586636.684711;4208052.839571;-11.536567;2.692528;-0.014062;0.012314;-0.531745;-0.846698;-0.035816;0.010717;-5.161454;-0.006920;-0.000081;0.004333;0.000233;-0.000339;-0.000253;-0.001635;0.000446;-0.003226;2.692528;
1580257822.139182;586636.684708;4208052.839601;-11.536579;2.692524;-0.014060;0.012311;-0.531744;-0.846699;-0.035810;0.010717;-5.161457;-0.004760;0.004239;0.000788;-0.000194;0.000010;-0.000316;-0.001828;0.000315;-0.003215;2.692524;
1580257822.148932;586636.684706;4208052.839632;-11.536591;2.692524;-0.014058;0.012308;-0.531744;-0.846699;-0.035803;0.010717;-5.161458;-0.001294;0.004204;0.003696;-0.000379;0.000161;-0.000167;-0.001868;0.000264;-0.003122;2.692524;
1580257822.163129;586636.684720;4208052.839697;-11.536605;2.692515;-0.014056;0.012314;-0.531740;-0.846701;-0.035810;0.010708;-5.161467;0.011109;0.001256;0.017553;-0.000230;-0.000831;-0.000902;-0.001414;0.000371;-0.002937;2.692515;
1580257822.171822;586636.684720;4208052.839730;-11.536616;2.692514;-0.014056;0.012314;-0.531739;-0.846702;-0.035810;0.010706;-5.161468;0.004064;0.006999;-0.001892;-0.000096;-0.000241;-0.000337;-0.001483;0.000470;-0.003000;2.692514;
1580257822.179134;586636.684722;4208052.839765;-11.536627;2.692512;-0.014055;0.012315;-0.531739;-0.846702;-0.035812;0.010704;-5.161469;0.004465;0.005371;-0.002469;0.000009;-0.000268;-0.000218;-0.001411;0.000559;-0.003011;2.692512;
1580257822.187602;586636.684723;4208052.839797;-11.536637;2.692512;-0.014053;0.012314;-0.531739;-0.846702;-0.035808;0.010702;-5.161469;0.000867;0.000899;0.001222;-0.000218;-0.000147;-0.000100;-0.001488;0.000411;-0.002933;2.692512;
